2024-03-28 11-48-02 top info:
Tasks: 490 total,   3 running, 487 sleeping,   0 stopped,   0 zombie
  Mem:  6005384K total,  5829604K used,   175780K free,  99581952 buffers
 Swap:  3302956K total,  1408200K used,  1894756K free,  3196704K cached
800%cpu 200%user  34%nice 248%sys 314%idle   3%iow   0%irq   0%sirq   0%host
   PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS
  5777 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  5776 u0_a90       20   0  14G  95M  82M S  0.0   1.6  40:47.23 com.qihoo360.mobilesafe:work
  5668 u0_a90       20   0  14G  94M  81M S  0.0   1.6  40:45.74 com.qihoo360.mobilesafe:shrimp0
  5647 u0_a90       20   0  13G 100M  73M S  0.0   1.7   0:02.82 main
  5612 u0_a90       20   0  14G  97M  84M S  0.0   1.6  41:21.85 com.qihoo360.mobilesafe:assist1
  5598 u0_a90       20   0  14G  96M  82M S  0.0   1.6  41:12.51 com.qihoo360.mobilesafe:assist
  5514 u0_a90       20   0  14G  96M  82M S  0.0   1.6  41:00.25 com.qihoo360.mobilesafe:daemon
  5456 u0_a90       16  -4  33G 293M 231M S  0.0   4.9 164:11.76 com.qihoo360.mobilesafe:GuardService
  5394 u0_a90       20   0  35G 378M 295M S  0.0   6.4 194:50.37 com.qihoo360.mobilesafe
  4914 system       20   0  13G  77M  66M S  0.0   1.3   0:00.24 com.hra.security_manage:hra_provider
  4538 u0_i9000     20   0 1.3G  63M  58M S  0.0   1.0   0:00.16 com.google.android.webview:sandboxed_process0:org.chromium.content.app.SandboxedProcessService0:0
  4449 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  4212 u0_a92       12  -8  10G 1.4M 856K S  0.0   0.0   0:01.00 app_d 304 388 0 364 96 97 36 26 0 14 0 0 /data/user/0/com.tencent.android.qqdownloader/app_indicators/indicator_d1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/indicator_p1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/observer_d1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/observer_p1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/indicator_d1_pid /data/user/0/com.tencent.android.qqdownloader/app_proc/process_live_indicator_v2.2.4_
  3738 u0_a92       20   0  10G 1.4M 848K S  0.0   0.0   0:01.09 app_d 304 388 0 364 116 117 36 26 0 14 0 0 /data/user/0/com.tencent.android.qqdownloader/app_indicators/indicator_p1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/indicator_d1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/observer_p1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/observer_d1 /data/user/0/com.tencent.android.qqdownloader/app_indicators/indicator_p1_pid /data/user/0/com.tencent.android.qqdownloader/app_proc/process_live_indicator_v2.2.4_
  3717 u0_a92       20   0  15G 144M  94M S  0.0   2.4   6:34.65 com.tencent.android.qqdownloader:cloud
  3617 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  3325 u0_a102      20   0  14G  78M  72M S  0.0   1.3   0:01.46 com.adups.fota
  3188 u0_a78       20   0  14G  67M  61M S  0.0   1.1   0:02.55 com.debug.loggerui
  2966 u0_a92       20   0  16G 216M 120M S  0.0   3.6  14:00.20 com.tencent.android.qqdownloader
  2883 u0_a47       20   0  13G  81M  74M S  0.0   1.3   0:01.59 android.process.media
  2351 u0_a92       16  -4 251G 361M 271M S  0.0   6.1  18:17.82 com.tencent.android.qqdownloader:daemon
  2141 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  2089 u0_a92       20   0  15G 143M  95M S  0.0   2.4   6:58.50 com.tencent.android.qqdownloader:live
  2041 u0_a93       20   0  13G  91M  76M S  0.0   1.5   0:03.07 com.yangcong345.cloud.launcher
  1964 u0_a120      20   0  13G 104M  83M S  0.0   1.7   1:13.66 com.android.providers.media.module
  1823 system       20   0  10G 3.1M 2.9M S  0.0   0.0   0:03.37 batterywarning
  1789 nobody       17  -3  10G 1.4M 1.1M S  0.0   0.0   0:51.10 dnsmasq
  1756 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
  1635 u0_a108      10 -10  14G 179M 146M S  0.0   3.0   0:06.84 com.android.launcher3
  1528 u0_a123      20   0  13G  96M  87M S  0.0   1.6   0:00.57 android.ext.services
  1508 radio        20   0  14G 108M  92M S  0.0   1.8   0:35.33 com.android.phone
  1491 secure_element 20 0  13G  62M  55M S  0.0   1.0   0:00.15 com.android.se
  1484 webview_zygote 20 0 1.6G  43M  38M S  0.0   0.7   0:01.46 webview_zygote
  1455 network_stack 20  0  13G  96M  81M S  0.0   1.6   2:22.85 com.android.networkstack.process
  1382 root         20   0 8.7M 2.4M 2.3M S  0.0   0.0   0:01.20 zygiskd32
  1326 u0_a116      20   0  15G 226M 178M S  0.0   3.8   8:49.04 com.android.systemui
  1301 bluetooth    20   0  14G  97M  88M S  0.0   1.6   0:12.61 com.android.bluetooth
  1299 wifi         20   0  10G  13M  11M S  0.0   0.2   0:06.09 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -dd -g@android:wpa_wlan0
  1297 root         10 -10    0    0    0 S  0.0   0.0   1:38.76 [rx_thread]
  1296 root         10 -10    0    0    0 S  0.0   0.0   3:40.89 [hif_thread]
  1295 root         10 -10    0    0    0 S  0.0   0.0   2:31.72 [tx_thread]
  1291 wifi         20   0  10G 7.4M 6.7M S  0.0   0.1   0:07.90 android.hardware.wifi@1.0-service-lazy
  1264 root         RT   0    0    0    0 S  0.0   0.0   3:21.44 [disp_queue_P0]
   978 root         20   0  10G 3.0M 2.9M S  0.0   0.0   0:01.25 zygiskd64
   847 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_eint_wq]
   846 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [fm_timer_wq]
   806 system       20   0  10G 3.9M 3.8M S  0.0   0.0   0:00.21 netdagent
   801 root         20   0  10G 7.8M 7.2M S  0.0   0.1   0:00.07 update_engine --logtostderr --logtofile --foreground
   800 system       20   0  10G 6.0M 5.5M S  0.0   0.1   0:00.02 gatekeeperd /data/misc/gatekeeper
   796 mediacodec   20   0  10G  17M  16M S  0.0   0.2   0:00.45 media.swcodec oid.media.swcodec/bin/mediaswcodec
   793 wifi         20   0  10G 2.6M 2.4M S  0.0   0.0   0:01.37 wlan_assistant
   788 system       20   0  10G  10M 8.9M S  0.0   0.1   0:00.63 vendor.mediatek.hardware.pq@2.2-service
   787 system       20   0 8.3M 2.7M 2.5M S  0.0   0.0   0:06.66 thermalloadalgod
   785 system       20   0  10G 3.3M 3.1M S  0.0   0.0   0:10.05 thermal
   781 system       20   0  10G 5.3M 5.1M S  0.0   0.0   0:01.11 getgameserver
   779 cameraserver 20   0  11G  39M  34M S  0.0   0.6   0:00.88 camerahalserver
   773 mediacodec   20   0  58M  15M  14M S  0.0   0.2   0:01.05 media.codec hw/android.hardware.media.omx@1.0-service
   763 wifi         20   0  10G 6.8M 5.7M S  0.0   0.1   0:09.68 wificond
   760 root         30  10  10G 5.2M 4.3M S  0.0   0.0   0:27.28 storaged
   758 shell        20   0  10G 3.5M 3.3M S  0.0   0.0   0:01.34 netdiag
   757 system       20   0  10G 3.2M 3.1M S  0.0   0.0   0:02.53 mobile_log_d
   755 media        20   0  98M  21M  18M S  0.0   0.3   0:01.60 mediaserver
   752 media        20   0  10G 5.5M 5.0M S  0.0   0.0   0:00.08 media.metrics diametrics
   749 mediaex      20   0  10G  24M  21M S  0.0   0.4   0:00.63 media.extractor aextractor
   745 keystore     20   0  10G 7.2M 6.6M S  0.0   0.1   0:00.04 keystore /data/misc/keystore
   744 root         20   0  10G 5.6M 4.5M S  0.0   0.0   0:05.39 installd
   743 system       20   0  10G 3.1M 2.8M S  0.0   0.0   0:00.06 thermald
   742 incidentd    20   0  10G 4.2M 3.9M S  0.0   0.0   0:00.01 incidentd
   740 drm          20   0  60M  22M  19M S  0.0   0.3   0:00.25 drmserver
   739 root         20   0  10G 3.0M 2.8M S  0.0   0.0   0:00.01 dpci
   738 shell        20   0 8.1M 2.1M 2.0M S  0.0   0.0   0:02.08 connsyslogger
   737 cameraserver 20   0  48M  17M  15M S  0.0   0.2   0:00.84 cameraserver
   735 shell        20   0  10G 3.8M 3.6M S  0.0   0.0   0:00.02 lbs_dbg
   728 gps          20   0  38M 5.5M 5.3M S  0.0   0.0   0:01.24 mnld
   720 root         20   0    0    0    0 S  0.0   0.0   0:00.01 [mtk_wmtd_worker]
   719 root         20   0    0    0    0 S  0.0   0.0   0:02.66 [mtk_wmtd]
   717 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [mtk_stp_btm]
   716 root         20   0    0    0    0 S  0.0   0.0   0:01.26 [mtk_stp_psm]
   703 system       20   0  10G  27M  26M S  0.0   0.4   0:00.14 android.hardware.neuralnetworks@1.3-service-mtk-neuron
   701 nobody       20   0  10G 2.9M 2.8M S  0.0   0.0   0:02.05 traced
   697 nobody       20   0  10G 2.6M 2.6M S  0.0   0.0   0:01.77 traced_probes
   658 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kbase_event]
   588 system       20   0 8.6M 3.0M 2.7M S  0.0   0.0   0:48.37 fuelgauged
   585 system       -3  -8  11G  48M  40M S  0.0   0.8  30:39.52 surfaceflinger
   579 gpu_service  20   0  10G 6.0M 5.5M S  0.0   0.1   0:00.03 gpuservice
   578 credstore    20   0  10G 6.5M 5.9M S  0.0   0.1   0:00.02 credstore /data/misc/credstore
   572 audioserver  20   0  11G  22M  20M S  0.0   0.3   0:10.94 audioserver
   569 system       20   0  10G 5.3M 4.9M S  0.0   0.0   0:00.02 android.hardware.vibrator-service.mediatek
   565 root         20   0  10G 5.3M 4.7M S  0.0   0.0   1:36.28 vendor.mediatek.hardware.nvram@1.1-service
   564 system       20   0  10G 7.6M 6.3M S  0.0   0.1   0:03.49 vendor.mediatek.hardware.mtkpower@1.0-service
   560 system       20   0  10G 8.0M 7.2M S  0.0   0.1   0:00.03 vendor.mediatek.hardware.gpu@1.0-service
   559 system       20   0  10G 5.5M 4.9M S  0.0   0.0   0:00.08 android.hardware.lights-service.mediatek
   555 system       20   0  10G 4.6M 4.2M S  0.0   0.0   0:00.09 lbs_hidl_service
   553 root         20   0  10G 4.5M 4.2M S  0.0   0.0   0:03.37 android.hardware.usb@1.1-service-mediatek
   552 system       20   0  10G 4.1M 3.9M S  0.0   0.0   0:03.33 android.hardware.thermal@2.0-service.mtk
   550 system       20   0  10G 4.2M 3.9M S  0.0   0.0   0:02.53 android.hardware.memtrack@1.0-service
   549 system       20   0  10G 4.7M 4.2M S  0.0   0.0   1:53.03 android.hardware.health@2.1-service
   547 system       -3  -8  11G  15M  13M S  0.0   0.2  19:04.63 android.hardware.graphics.composer@2.1-service
   544 system       20   0  10G 8.2M 7.2M S  0.0   0.1   0:01.08 android.hardware.graphics.allocator@4.0-service-mediatek
   542 system       20   0  10G 7.0M 6.5M S  0.0   0.1   0:00.04 android.hardware.gnss@2.1-service-mediatek
   540 system       20   0  10G 4.0M 3.8M S  0.0   0.0   0:00.02 android.hardware.gatekeeper@1.0-service
   539 media        20   0  25M 7.9M 6.9M S  0.0   0.1   0:00.12 android.hardware.drm@1.3-service.widevine
   537 media        20   0  10G 6.9M 6.3M S  0.0   0.1   0:00.03 android.hardware.drm@1.3-service.clearkey
   536 media        20   0  18M 4.2M 3.9M S  0.0   0.0   0:00.02 android.hardware.cas@1.2-service
   535 bluetooth    20   0  10G 4.3M 4.1M S  0.0   0.0   0:02.20 android.hardware.bluetooth@1.0-service-mediatek
   534 audioserver  20   0  51M  11M  10M S  0.0   0.1   0:02.46 android.hardware.audio.service.mediatek
   532 system       20   0  10G 3.4M 3.1M S  0.0   0.0   0:00.01 android.hidl.allocator@1.0-service
   530 root         20   0  10G 2.8M 2.4M S  0.0   0.0   0:01.40 ip6tables-restore --noflush -w -v
   529 root         20   0  10G 2.7M 2.4M S  0.0   0.0   0:01.42 iptables-restore --noflush -w -v
   525 root         20   0 1.7G 145M 140M S  0.0   2.4   0:03.77 zygote
   524 root         20   0  13G 160M 151M S  0.0   2.7   0:05.27 zygote64
   522 root         20   0  11G 7.9M 7.2M S  0.0   0.1   2:50.08 netd
   521 statsd       20   0  10G 4.2M 3.8M S  0.0   0.0   0:20.42 statsd
   516 tombstoned   20   0  10G 2.0M 1.9M S  0.0   0.0   0:00.00 tombstoned
   506 system       18  -2  13G 108M 101M S  0.0   1.8   1:38.91 lspd
   493 root         20   0  10G 4.5M 4.1M S  0.0   0.0   0:02.56 magiskd
   473 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   472 root         20   0    0    0    0 S  0.0   0.0   2:12.49 [jbd2/dm-9-8]
   471 root         RT   0    0    0    0 S  0.0   0.0   0:00.00 [irq/126-1124000]
   462 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   459 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   453 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   452 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   440 system       20   0  10G 2.1M 2.1M S  0.0   0.0   0:01.22 wmt_launcher -p /vendor/firmware/ -o 1
   438 system       20   0  10G 5.6M 5.1M S  0.0   0.0   0:00.09 android.hardware.keymaster@4.0-service.trustkernel
   437 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   436 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   435 system       20   0  10G 4.3M 3.8M S  0.0   0.0  20:14.52 android.system.suspend@1.0-service
   434 system       20   0  10G 2.3M 2.2M S  0.0   0.0   0:08.41 teed --datapath /data/vendor/t6/fs --sptapath /data/vendor/t6/app --systapath /vendor/app/t6 --rpmbdev /dev/mmcblk0rpmb --rpmbdev /dev/rpmb0 --prot /mnt/vendor/persist/t6 --prot /mnt/vendor/protect_f/tee --logpath /data/vendor/t6/tkcore.log --proprefix vendor.trustkernel
   431 root         RT   0  10G 4.0M 3.6M S  0.0   0.0   0:02.12 aee_aed64
   430 root         RT   0  14M 3.3M 3.0M S  0.0   0.0   0:01.94 aee_aed
   429 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [f_mtp]
   426 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   425 root         20   0    0    0    0 S  0.0   0.0   0:00.53 [jbd2/sdc12-8]
   423 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   422 root         20   0    0    0    0 S  0.0   0.0   0:00.81 [jbd2/sdc5-8]
   420 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   419 root         20   0    0    0    0 S  0.0   0.0   0:00.79 [jbd2/sdc6-8]
   417 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   416 root         20   0    0    0    0 S  0.0   0.0   0:00.71 [jbd2/sdc10-8]
   410 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   409 root         20   0    0    0    0 S  0.0   0.0   0:00.68 [jbd2/sdc9-8]
   407 root         20   0  10G 4.3M 4.1M S  0.0   0.0   0:00.02 android.hardware.boot@1.1-service
   406 root         20   0  10G 7.1M 6.4M S  0.0   0.1   0:06.27 vold --blkid_context=u:r:blkid:s0 --blkid_untrusted_context=u:r:blkid_untrusted:s0 --fsck_context=u:r:fsck:s0 --fsck_untrusted_context=u:r:fsck_untrusted:s0
   399 root         -2   0    0    0    0 S  0.0   0.0   0:09.36 [psimon]
   398 system       20   0  10G 3.8M 3.5M S  0.0   0.0   0:02.10 vndservicemanager /dev/vndbinder
   397 system       20   0  10G 5.7M 4.9M S  0.0   0.0   1:31.82 hwservicemanager
   396 system       20   0  10G 4.5M 3.8M S  0.0   0.0   0:08.28 servicemanager
   395 lmkd         -2   0  10G 2.3M 1.8M S  0.0   0.0   0:08.86 lmkd
   376 root         20   0  10G 6.7M 5.2M S  0.0   0.1   5:53.55 ueventd
   374 root         20   0  10G 5.7M 5.3M S  0.0   0.0   0:02.45 init subcontext u:r:vendor_init:s0 15
   370 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   369 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   368 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   367 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   366 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
   365 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   364 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   363 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   362 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   361 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   360 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   359 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
   358 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   357 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   353 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   352 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   351 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   350 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   349 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kverityd]
   348 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   347 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   346 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   345 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   344 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   343 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   342 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   341 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   340 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [bioset]
   339 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kdmflush]
   338 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [ext4-rsv-conver]
   337 root         20   0    0    0    0 S  0.0   0.0   0:00.46 [jbd2/sdc7-8]
   336 root          0 -20    0    0    0 I  0.0   0.0   0:01.20 [kworker/4:1H]
   335 root          0 -20    0    0    0 I  0.0   0.0   0:10.89 [kworker/1:1H]
   334 root          0 -20    0    0    0 I  0.0   0.0   0:07.38 [kworker/2:1H]
   333 root          0 -20    0    0    0 I  0.0   0.0   0:00.77 [kworker/6:1H]
   332 root          0 -20    0    0    0 I  0.0   0.0   0:00.83 [kworker/5:1H]
   331 root          0 -20    0    0    0 I  0.0   0.0   0:00.70 [kworker/7:1H]
   329 root          0 -20    0    0    0 I  0.0   0.0   0:06.35 [kworker/3:1H]
   328 root          0 -20    0    0    0 I  0.0   0.0   0:06.91 [kworker/0:1H]
   327 root         RT   0    0    0    0 D  0.0   0.0   0:00.45 [wdtk-7]
   326 root         RT   0    0    0    0 D  0.0   0.0   0:00.48 [wdtk-6]
   325 root         RT   0    0    0    0 D  0.0   0.0   0:00.47 [wdtk-5]
   324 root         RT   0    0    0    0 D  0.0   0.0   0:00.57 [wdtk-4]
   323 root         RT   0    0    0    0 D  0.0   0.0   0:00.70 [wdtk-3]
   322 root         RT   0    0    0    0 D  0.0   0.0   0:00.74 [wdtk-2]
   321 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [boost_workq]
   320 root         RT   0    0    0    0 D  0.0   0.0   0:00.80 [wdtk-1]
   319 root         RT   0    0    0    0 D  0.0   0.0   0:00.56 [wdtk-0]
   318 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mt-wdk]
   317 root         20   0    0    0    0 D  0.0   0.0   4:05.47 [charger_thread]
   316 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [touch_resume]
   315 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [himax_diag]
   314 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [himax_guest_inf]
   313 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [himax_flash_wq]
   312 root         RT   0    0    0    0 S  0.0   0.0   0:00.05 [irq/127-hxcommo]
   311 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [HX_boot_upgrade]
   310 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [usb_dr_workq]
   309 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [mtk-tpd]
   308 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [gyro_polling]
   307 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [accel_polling]
   306 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [stk_ps_tune0_wq]
   305 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [ksched_hint]
   304 root         20   0    0    0    0 D  0.0   0.0   0:00.00 [qos_recv]
   303 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [cpuhp-ppm]
